1. Matches(date=7:1:2022, team1=FC Bayern Munich, team2=Borussia Monchengladbach, result=1:02, watchers=NULL, stadium=NULL)
71. Matches(date=6:3:2022, team1=1. FC Cologne, team2=TSG 1899 Hoffenheim, result=0:01, watchers=37500, stadium=NULL)
72. Matches(date=16:3:2022, team1=1. FSV Mainz 05, team2=Borussia Dortmund, result=0:01, watchers=25000, stadium=NULL)
73. Matches(date=12:3:2022, team1=Freiburg, team2=VfL Wolfsburg, result=3:02, watchers=25000, stadium=NULL)
74. Matches(date=12:3:2022, team1=1. FC Union Berlin, team2=Stuttgart, result=1:01, watchers=16509, stadium=NULL)
75. Matches(date=12:3:2022, team1=TSG 1899 Hoffenheim, team2=FC Bayern Munich, result=1:01, watchers=25600, stadium=NULL)
76. Matches(date=12:3:2022, team1=Borussia Monchengladbach, team2=Hertha BSC, result=2:00, watchers=30675, stadium=NULL)
77. Matches(date=13:3:2022, team1=Bayer 04 Leverkusen, team2=1. FC Cologne, result=0:01, watchers=22658, stadium=NULL)
78. Matches(date=13:3:2022, team1=Borussia Dortmund, team2=Arminia Bielefeld, result=1:00, watchers=33000, stadium=NULL)
79. Matches(date=13:3:2022, team1=Eintracht Frankfurt, team2=VfL Bochum, result=2:01, watchers=24000, stadium=NULL)
80. Matches(date=13:3:2022, team1=SpVgg Greuther Fürth, team2=RB Leipzig, result=1:06, watchers=9418, stadium=NULL)
81. Matches(date=18:3:2022, team1=VfL Bochum, team2=Borussia Monchengladbach, result=0:02, watchers=NULL, stadium=NULL)
82. Matches(date=19:3:2022, team1=Hertha BSC, team2=TSG 1899 Hoffenheim, result=3:00, watchers=25000, stadium=NULL)
83. Matches(date=19:3:2022, team1=Stuttgart, team2=FC Augsburg, result=3:02, watchers=55785, stadium=NULL)
84. Matches(date=19:3:2022, team1=SpVgg Greuther Fürth, team2=Freiburg, result=0:00, watchers=9884, stadium=NULL)
85. Matches(date=19:3:2022, team1=1. FSV Mainz 05, team2=Arminia Bielefeld, result=4:00, watchers=25000, stadium=NULL)
86. Matches(date=19:3:2022, team1=FC Bayern Munich, team2=1. FC Union Berlin, result=4:00, watchers=37000, stadium=NULL)
87. Matches(date=20:3:2022, team1=RB Leipzig, team2=Eintracht Frankfurt, result=0:00, watchers=43058, stadium=NULL)
88. Matches(date=20:3:2022, team1=VfL Wolfsburg, team2=Bayer 04 Leverkusen, result=0:02, watchers=16554, stadium=NULL)
89. Matches(date=20:3:2022, team1=1. FC Cologne, team2=Borussia Dortmund, result=1:01, watchers=50000, stadium=NULL)
90. Matches(date=6:4:2022, team1=FC Augsburg, team2=1. FSV Mainz 05, result=2:01, watchers=18122, stadium=NULL)
91. Matches(date=1:4:2022, team1=1. FC Union Berlin, team2=1. FC Cologne, result=1:00, watchers=22012, stadium=NULL)
92. Matches(date=2:4:2022, team1=Freiburg, team2=FC Bayern Munich, result=1:04, watchers=34700, stadium=NULL)
93. Matches(date=2:4:2022, team1=Bayer 04 Leverkusen, team2=Hertha BSC, result=2:01, watchers=23557, stadium=NULL)
94. Matches(date=2:4:2022, team1=TSG 1899 Hoffenheim, team2=VfL Bochum, result=1:02, watchers=15014, stadium=NULL)
95. Matches(date=2:4:2022, team1=Eintracht Frankfurt, team2=SpVgg Greuther Fürth, result=0:00, watchers=50500, stadium=NULL)
96. Matches(date=2:4:2022, team1=Arminia Bielefeld, team2=Stuttgart, result=1:01, watchers=26011, stadium=NULL)
97. Matches(date=2:4:2022, team1=Borussia Dortmund, team2=RB Leipzig, result=1:04, watchers=81365, stadium=NULL)
98. Matches(date=3:4:2022, team1=FC Augsburg, team2=VfL Wolfsburg, result=3:00, watchers=23143, stadium=NULL)
99. Matches(date=3:4:2022, team1=Borussia Monchengladbach, team2=1. FSV Mainz 05, result=1:01, watchers=44156, stadium=NULL)
100. Matches(date=8:4:2022, team1=Stuttgart, team2=Borussia Dortmund, result=0:02, watchers=58248, stadium=NULL)
101. Matches(date=9:4:2022, team1=SpVgg Greuther Fürth, team2=Borussia Monchengladbach, result=0:02, watchers=13900, stadium=NULL)
102. Matches(date=9:4:2022, team1=FC Bayern Munich, team2=FC Augsburg, result=1:00, watchers=75000, stadium=NULL)
103. Matches(date=9:4:2022, team1=1. FC Cologne, team2=1. FSV Mainz 05, result=3:02, watchers=49800, stadium=NULL)
104. Matches(date=9:4:2022, team1=VfL Wolfsburg, team2=Arminia Bielefeld, result=4:00, watchers=22512, stadium=NULL)
105. Matches(date=9:4:2022, team1=Hertha BSC, team2=1. FC Union Berlin, result=1:04, watchers=74667, stadium=NULL)
106. Matches(date=10:4:2022, team1=VfL Bochum, team2=Bayer 04 Leverkusen, result=0:00, watchers=25000, stadium=NULL)
107. Matches(date=10:4:2022, team1=Eintracht Frankfurt, team2=Freiburg, result=1:02, watchers=47000, stadium=NULL)
108. Matches(date=10:4:2022, team1=RB Leipzig, team2=TSG 1899 Hoffenheim, result=3:00, watchers=35112, stadium=NULL)
109. Matches(date=16:4:2022, team1=Borussia Dortmund, team2=VfL Wolfsburg, result=6:01, watchers=79200, stadium=NULL)
110. Matches(date=16:4:2022, team1=FC Augsburg, team2=Hertha BSC, result=0:01, watchers=28533, stadium=NULL)
111. Matches(date=16:4:2022, team1=1. FSV Mainz 05, team2=Stuttgart, result=0:00, watchers=30128, stadium=NULL)
112. Matches(date=16:4:2022, team1=Freiburg, team2=VfL Bochum, result=3:00, watchers=34000, stadium=NULL)
113. Matches(date=16:4:2022, team1=Borussia Monchengladbach, team2=1. FC Cologne, result=1:03, watchers=54042, stadium=NULL)
114. Matches(date=17:4:2022, team1=Arminia Bielefeld, team2=FC Bayern Munich, result=0:03, watchers=26419, stadium=NULL)
115. Matches(date=17:4:2022, team1=1. FC Union Berlin, team2=Eintracht Frankfurt, result=2:00, watchers=22012, stadium=NULL)
116. Matches(date=17:4:2022, team1=TSG 1899 Hoffenheim, team2=SpVgg Greuther Fürth, result=0:00, watchers=16110, stadium=NULL)
117. Matches(date=17:4:2022, team1=Bayer 04 Leverkusen, team2=RB Leipzig, result=0:01, watchers=26119, stadium=NULL)
118. Matches(date=22:4:2022, team1=VfL Wolfsburg, team2=1. FSV Mainz 05, result=5:00, watchers=19055, stadium=NULL)
119. Matches(date=23:4:2022, team1=RB Leipzig, team2=1. FC Union Berlin, result=1:02, watchers=45770, stadium=NULL)
120. Matches(date=23:4:2022, team1=Freiburg, team2=Borussia Monchengladbach, result=3:03, watchers=34700, stadium=NULL)
121. Matches(date=23:4:2022, team1=1. FC Cologne, team2=Arminia Bielefeld, result=3:01, watchers=50000, stadium=NULL)
